task_id,complexity,quality_condition,human_accuracy,llm_accuracy,human_time_sec,llm_time_sec,human_cost_usd,llm_cost_usd,participant_id,llm_model_count
P9_task_3,hard,Q0,1,0.7222222222222222,52,49.88666666666667,0.3611111111111111,0.0,P9,18
P8_task_7,medium,Q0,1,0.9444444444444444,76,46.11055555555556,0.5277777777777778,0.0,P8,18
P9_task_4,medium,Q0,1,0.8888888888888888,247,51.05055555555556,1.7152777777777777,0.0,P9,18
P5_task_3,medium,Q1,1,0.5555555555555556,98,58.720555555555556,0.6805555555555555,0.0,P5,18
P2_task_9,medium,Q1,0,0.6111111111111112,289,61.85111111111112,2.0069444444444446,0.0,P2,18
P1_task_6,hard,Q1,1,0.8888888888888888,168,40.36888888888889,1.1666666666666667,0.0,P1,18
P3_task_2,medium,Q3,1,0.8888888888888888,281,60.14888888888888,1.951388888888889,0.0,P3,18
P4_task_2,hard,Q1,1,0.8888888888888888,98,52.71166666666667,0.6805555555555555,0.0,P4,18
P7_task_8,hard,Q0,0,0.7777777777777778,79,31.561666666666667,0.548611111111111,0.0,P7,18
P7_task_3,medium,Q3,0,0.6666666666666666,245,61.72666666666666,1.7013888888888888,0.0,P7,18
P1_task_5,easy,Q1,1,0.8888888888888888,211,52.20222222222222,1.465277777777778,0.0,P1,18
P5_task_5,medium,Q0,1,0.8333333333333334,99,63.135555555555555,0.6875,0.0,P5,18
