row,table_column,original,corrupted,error_type,timestamp
511,relationship_data.child,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293730
512,relationship_data.child,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293750
513,relationship_data.child,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293769
514,relationship_data.child,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293788
515,relationship_data.child,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293808
516,relationship_data.child,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293828
517,relationship_data.child,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293847
518,relationship_data.child,Printer_10,   Printer_10   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293866
519,relationship_data.child,Printer_10,   Printer_10   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293886
520,relationship_data.child,Printer_10,   Printer_10   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293905
521,relationship_data.child,Printer_10,   Printer_10   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293927
522,relationship_data.child,Printer_10,   Printer_10   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293947
523,relationship_data.child,Printer_10,   Printer_10   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293966
524,relationship_data.child,Printer_10,   Printer_10   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.293986
525,relationship_data.child,Printer_10,   Printer_10   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294006
526,relationship_data.child,Printer_10,   Printer_10   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294051
527,relationship_data.child,Printer_10,   Printer_10   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294091
528,relationship_data.child,Printer_10,   Printer_10   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294116
529,relationship_data.child,Printer_10,   Printer_10   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294138
530,relationship_data.child,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294158
531,relationship_data.child,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294179
532,relationship_data.child,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294201
533,relationship_data.child,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294221
534,relationship_data.child,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294241
535,relationship_data.child,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294261
536,relationship_data.child,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294282
537,relationship_data.child,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294302
538,relationship_data.child,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294323
539,relationship_data.child,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294374
540,relationship_data.child,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294399
541,relationship_data.child,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294419
542,relationship_data.child,Printer_3,Printer_3 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294439
543,relationship_data.child,Printer_3,Printer_3 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294461
544,relationship_data.child,Printer_3,Printer_3 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294481
545,relationship_data.child,Printer_3,Printer_3 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294500
546,relationship_data.child,Printer_3,Printer_3 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294520
547,relationship_data.child,Printer_3,Printer_3 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294540
548,relationship_data.child,Printer_3,Printer_3 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294561
549,relationship_data.child,Printer_3,Printer_3 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294580
550,relationship_data.child,Printer_3,Printer_3 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294600
551,relationship_data.child,Printer_3,Printer_3 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294620
552,relationship_data.child,Printer_3,Printer_3 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294640
553,relationship_data.child,Printer_3,Printer_3 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294663
554,relationship_data.child,Printer_3,Printer_3 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294683
555,relationship_data.child,Printer_3,Printer_3 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294703
576,relationship_data.child,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294723
577,relationship_data.child,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294742
578,relationship_data.child,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294763
579,relationship_data.child,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294783
580,relationship_data.child,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294803
581,relationship_data.child,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294901
582,relationship_data.child,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294925
583,relationship_data.child,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294946
584,relationship_data.child,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294966
585,relationship_data.child,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.294986
586,relationship_data.child,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295006
587,relationship_data.child,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295026
588,relationship_data.child,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295047
589,relationship_data.child,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295067
590,relationship_data.child,Printer_7,   Printer_7,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295086
591,relationship_data.child,Printer_7,   Printer_7,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295106
592,relationship_data.child,Printer_7,   Printer_7,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295129
593,relationship_data.child,Printer_7,   Printer_7,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295149
594,relationship_data.child,Printer_7,   Printer_7,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295169
595,relationship_data.child,Printer_7,   Printer_7,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295188
596,relationship_data.child,Printer_7,   Printer_7,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295208
597,relationship_data.child,Printer_7,   Printer_7,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295227
598,relationship_data.child,Printer_7,   Printer_7,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295246
599,relationship_data.child,Printer_7,   Printer_7,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295266
610,relationship_data.child,Printer_9, Printer_9 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295285
611,relationship_data.child,Printer_9, Printer_9 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295305
612,relationship_data.child,Printer_9, Printer_9 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295324
613,relationship_data.child,Printer_9, Printer_9 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295344
614,relationship_data.child,Printer_9, Printer_9 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295363
615,relationship_data.child,Printer_9, Printer_9 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295383
616,relationship_data.child,Printer_9, Printer_9 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295405
617,relationship_data.child,Printer_9, Printer_9 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295425
618,relationship_data.child,Printer_9, Printer_9 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295445
619,relationship_data.child,Printer_9, Printer_9 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295465
620,relationship_data.child,Printer_9, Printer_9 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295484
621,relationship_data.child,Printer_9, Printer_9 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295504
622,relationship_data.child,Printer_9, Printer_9 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295523
623,relationship_data.child,Printer_9, Printer_9 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295542
624,relationship_data.child,Printer_9, Printer_9 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295562
625,relationship_data.child,Printer_9, Printer_9 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295584
0,relationship_data.parent,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295825
1,relationship_data.parent,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295851
2,relationship_data.parent,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295905
3,relationship_data.parent,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295935
4,relationship_data.parent,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295958
5,relationship_data.parent,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.295980
6,relationship_data.parent,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296001
7,relationship_data.parent,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296021
8,relationship_data.parent,Printer_10,   Printer_10   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296042
9,relationship_data.parent,Printer_10,   Printer_10   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296062
10,relationship_data.parent,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296082
11,relationship_data.parent,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296102
12,relationship_data.parent,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296123
13,relationship_data.parent,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296142
14,relationship_data.parent,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296162
15,relationship_data.parent,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296182
16,relationship_data.parent,Printer_3,Printer_3 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296202
17,relationship_data.parent,Printer_3,Printer_3 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296222
18,relationship_data.parent,Printer_3,Printer_3 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296241
19,relationship_data.parent,Printer_3,Printer_3 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296261
20,relationship_data.parent,Printer_3,Printer_3 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296280
21,relationship_data.parent,Printer_3,Printer_3 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296300
36,relationship_data.parent,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296323
37,relationship_data.parent,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296343
38,relationship_data.parent,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296363
39,relationship_data.parent,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296382
40,relationship_data.parent,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296402
41,relationship_data.parent,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296421
42,relationship_data.parent,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296442
43,relationship_data.parent,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296462
44,relationship_data.parent,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296482
45,relationship_data.parent,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296501
46,relationship_data.parent,Printer_7,   Printer_7,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296521
47,relationship_data.parent,Printer_7,   Printer_7,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296540
48,relationship_data.parent,Printer_7,   Printer_7,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296559
49,relationship_data.parent,Printer_7,   Printer_7,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296579
50,relationship_data.parent,Printer_7,   Printer_7,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296598
51,relationship_data.parent,Printer_7,   Printer_7,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296618
52,relationship_data.parent,Printer_7,   Printer_7,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296637
53,relationship_data.parent,Printer_7,   Printer_7,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296656
62,relationship_data.parent,Printer_9, Printer_9 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296676
63,relationship_data.parent,Printer_9, Printer_9 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296695
64,relationship_data.parent,Printer_9, Printer_9 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296717
65,relationship_data.parent,Printer_9, Printer_9 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296737
66,relationship_data.parent,Printer_10,   Printer_10   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296757
67,relationship_data.parent,Printer_10,   Printer_10   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296776
68,relationship_data.parent,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296796
69,relationship_data.parent,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296815
70,relationship_data.parent,Printer_3,Printer_3 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296834
71,relationship_data.parent,Printer_3,Printer_3 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296853
76,relationship_data.parent,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296872
77,relationship_data.parent,Printer_6,   Printer_6   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296892
78,relationship_data.parent,Printer_7,   Printer_7,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296911
79,relationship_data.parent,Printer_7,   Printer_7,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296933
82,relationship_data.parent,Printer_9, Printer_9 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296953
83,relationship_data.parent,Printer_9, Printer_9 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296972
88,relationship_data.parent,Printer_7,   Printer_7,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.296991
89,relationship_data.parent,Printer_7,   Printer_7,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.297010
92,relationship_data.parent,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.297029
93,relationship_data.parent,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.297049
94,relationship_data.parent,ORBOX00116, ORBOX00116 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.297068
95,relationship_data.parent,ORBOX00116, ORBOX00116 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.297090
96,relationship_data.parent,Printer_10,   Printer_10   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.297110
97,relationship_data.parent,Printer_10,   Printer_10   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.297130
100,relationship_data.parent,Printer_10,   Printer_10   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.297150
101,relationship_data.parent,Printer_10,   Printer_10   ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.297169
104,relationship_data.parent,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.297189
105,relationship_data.parent,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.297209
108,relationship_data.parent,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.297228
109,relationship_data.parent,Printer_1,Printer_1 ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.297247
114,relationship_data.parent,Printer_2,  Printer_2  ,Q1_SPACE_ORDER_LEVEL,2025-06-10T21:18:09.297266
