row,table_column,original,corrupted,error_type,removed_char,position,timestamp
407,relationship_data.child,3DOR100080,3DOR10008,Q2_CHAR_MISSING_ORDER_LEVEL,0,9,2025-06-09T19:18:32.612369
502,relationship_data.child,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.612390
503,relationship_data.child,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.612411
504,relationship_data.child,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.612433
505,relationship_data.child,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.612454
506,relationship_data.child,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.612475
507,relationship_data.child,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.612496
508,relationship_data.child,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.612517
509,relationship_data.child,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.612538
510,relationship_data.child,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.612559
511,relationship_data.child,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.612581
512,relationship_data.child,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.612602
513,relationship_data.child,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.612623
514,relationship_data.child,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.612644
515,relationship_data.child,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.612665
516,relationship_data.child,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.612687
517,relationship_data.child,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.612708
518,relationship_data.child,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.612729
519,relationship_data.child,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.612749
520,relationship_data.child,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.612770
521,relationship_data.child,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.612791
522,relationship_data.child,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.612812
523,relationship_data.child,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.612835
524,relationship_data.child,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.612857
525,relationship_data.child,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.612878
526,relationship_data.child,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.612899
527,relationship_data.child,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.612920
528,relationship_data.child,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.612941
529,relationship_data.child,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.612999
530,relationship_data.child,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.613021
531,relationship_data.child,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.613043
532,relationship_data.child,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.613065
533,relationship_data.child,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.613168
534,relationship_data.child,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.613224
535,relationship_data.child,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.613254
536,relationship_data.child,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.613280
537,relationship_data.child,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.613303
538,relationship_data.child,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.613325
539,relationship_data.child,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.613347
540,relationship_data.child,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.613369
541,relationship_data.child,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.613390
542,relationship_data.child,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.613412
543,relationship_data.child,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.613433
544,relationship_data.child,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.613454
545,relationship_data.child,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.613475
546,relationship_data.child,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.613496
547,relationship_data.child,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.613517
548,relationship_data.child,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.613540
549,relationship_data.child,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.613561
550,relationship_data.child,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.613582
551,relationship_data.child,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.613610
552,relationship_data.child,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.613631
553,relationship_data.child,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.613653
554,relationship_data.child,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.613675
555,relationship_data.child,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.613697
576,relationship_data.child,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.613718
577,relationship_data.child,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.613741
578,relationship_data.child,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.613763
579,relationship_data.child,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.613783
580,relationship_data.child,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.613805
581,relationship_data.child,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.613826
582,relationship_data.child,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.613847
583,relationship_data.child,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.613867
584,relationship_data.child,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.613888
585,relationship_data.child,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.613909
586,relationship_data.child,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.613930
587,relationship_data.child,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.613951
588,relationship_data.child,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.613973
589,relationship_data.child,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.613994
600,relationship_data.child,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.614014
601,relationship_data.child,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.614035
602,relationship_data.child,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.614059
603,relationship_data.child,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.614080
604,relationship_data.child,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.614101
605,relationship_data.child,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.614121
606,relationship_data.child,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.614142
607,relationship_data.child,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.614162
608,relationship_data.child,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.614183
609,relationship_data.child,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.614204
610,relationship_data.child,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.614224
611,relationship_data.child,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.614245
612,relationship_data.child,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.614298
613,relationship_data.child,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.614324
614,relationship_data.child,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.614345
615,relationship_data.child,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.614366
616,relationship_data.child,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.614387
617,relationship_data.child,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.614407
618,relationship_data.child,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.614429
619,relationship_data.child,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.614451
620,relationship_data.child,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.614476
621,relationship_data.child,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.614497
622,relationship_data.child,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.614518
623,relationship_data.child,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.614539
624,relationship_data.child,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.614559
625,relationship_data.child,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.614580
0,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.614870
1,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.614896
2,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.614918
3,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.614940
4,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.614961
5,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.614983
6,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.615004
7,relationship_data.parent,Printer_1,Printer1,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.615024
8,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.615045
9,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.615066
10,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.615087
11,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.615108
12,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.615128
13,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.615149
14,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.615170
15,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.615191
16,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.615212
17,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.615232
18,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.615253
19,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.615274
20,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.615297
21,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.615318
36,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.615339
37,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.615360
38,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.615380
39,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.615401
40,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.615422
41,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.615443
42,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.615464
43,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.615485
44,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.615505
45,relationship_data.parent,Printer_6,Printe_6,Q2_CHAR_MISSING_ORDER_LEVEL,r,6,2025-06-09T19:18:32.615526
54,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.615546
55,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.615567
56,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.615587
57,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.615608
58,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.615629
59,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.615649
60,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.615669
61,relationship_data.parent,Printer_8,Priter_8,Q2_CHAR_MISSING_ORDER_LEVEL,n,3,2025-06-09T19:18:32.615690
62,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.615710
63,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.615730
64,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.615751
65,relationship_data.parent,Printer_9,Pinter_9,Q2_CHAR_MISSING_ORDER_LEVEL,r,1,2025-06-09T19:18:32.615771
66,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.615794
67,relationship_data.parent,Printer_10,Priner_10,Q2_CHAR_MISSING_ORDER_LEVEL,t,4,2025-06-09T19:18:32.615815
68,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.615836
69,relationship_data.parent,Printer_2,Printer2,Q2_CHAR_MISSING_ORDER_LEVEL,_,7,2025-06-09T19:18:32.615857
70,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.615877
71,relationship_data.parent,Printer_3,Printer_,Q2_CHAR_MISSING_ORDER_LEVEL,3,8,2025-06-09T19:18:32.615898
